TYPE,NUMBER,LEVEL,TITLE,SUPERIOR_NUMBER,BALANCE_DIRECTION
assets,1001,1,库存现金,,debit
assets,1002,1,银行存款,,debit
assets,1002001,2,招商银行,1002,debit
assets,1012,1,其他货币资金,,debit
assets,1101,1,短期投资,,debit
assets,1121,1,应收票据,,debit
assets,1122,1,应收账款,,debit
assets,1123,1,预付账款,,debit
assets,1131,1,应收股利,,debit
assets,1132,1,应收利息,,debit
assets,1221,1,其他应收款,,debit
assets,1401,1,材料采购,,debit
assets,1402,1,在途物资,,debit
assets,1403,1,原材料,,debit
assets,1404,1,材料成本差异,,debit
assets,1405,1,库存商品,,debit
assets,1407,1,商品进销差价,,credit
assets,1408,1,委托加工物资,,debit
assets,1411,1,周转材料,,debit
assets,1421,1,消耗性生物资产,,debit
assets,1501,1,长期债券投资,,debit
assets,1511,1,长期股权投资,,debit
assets,1601,1,固定资产,,debit
assets,1601001,2,电脑,1601,debit
assets,1602,1,累计折旧,,credit
assets,1604,1,在建工程,,debit
assets,1605,1,工程物资,,debit
assets,1606,1,固定资产清理,,debit
assets,1621,1,生产性生物资产,,debit
assets,1622,1,生产性生物资产累计折旧,,credit
assets,1701,1,无形资产,,debit
assets,1701001,2,品牌使用费,1701,debit
assets,1702,1,累计摊销,,credit
assets,1801,1,长期待摊费用,,debit
assets,1801001,2,房租,1801,debit
assets,1901,1,待处理财产损溢,,debit
liabilities,2001,1,短期借款,,credit
liabilities,2201,1,应付票据,,credit
liabilities,2202,1,应付账款,,credit
liabilities,2203,1,预收账款,,credit
liabilities,2211,1,应付职工薪酬,,credit
liabilities,2211001,2,工资,2211,credit
liabilities,2221,1,应交税费,,credit
liabilities,2231,1,应付利息,,credit
liabilities,2232,1,应付利润,,credit
liabilities,2241,1,其他应付款,,credit
liabilities,2401,1,递延收益,,credit
liabilities,2501,1,长期借款,,credit
liabilities,2701,1,长期应付款,,credit
equity,3001,1,实收资本,,credit
equity,3001001,2,欧德华,3001,credit
equity,3001002,2,林朝伟,3001,credit
equity,3002,1,资本公积,,credit
equity,3101,1,盈余公积,,credit
equity,3103,1,本年利润,,credit
equity,3104,1,利润分配,,credit
cost,4001,1,生产成本,,debit
cost,4101,1,制造费用,,debit
cost,4301,1,研发支出,,debit
cost,4401,1,工程施工,,debit
cost,4403,1,机械作业,,debit
profit_and_loss,5001,1,主营业务收入,,credit
profit_and_loss,5051,1,其他业务收入,,credit
profit_and_loss,5111,1,投资收益,,credit
profit_and_loss,5301,1,营业外收入,,credit
profit_and_loss,5401,1,主营业务成本,,debit
profit_and_loss,5402,1,其他业务成本,,debit
profit_and_loss,5403,1,营业税金及附加,,debit
profit_and_loss,5601,1,销售费用,,debit
profit_and_loss,5602,1,管理费用,,debit
profit_and_loss,5602001,2,办公费,5602,debit
profit_and_loss,5602002,2,其他,5602,debit
profit_and_loss,5602003,2,工资,5602,debit
profit_and_loss,5602004,2,品牌使用费摊销,5602,debit
profit_and_loss,5602005,2,房租,5602,debit
profit_and_loss,5603,1,财务费用,,debit
profit_and_loss,5711,1,营业外支出,,debit
profit_and_loss,5801,1,所得税费用,,debit