CLASS,GROUP,NUMBER,LEVEL,TITLE,SUPERIOR_NUMBER,BALANCE_DIRECTION
1,101,1001,1,库存现金,,debit
1,101,1002,1,银行存款,,debit
1,101,100201,2,招商银行,1002,debit
1,101,1012,1,其他货币资金,,debit
1,101,1101,1,短期投资,,debit
1,101,1121,1,应收票据,,debit
1,101,1122,1,应收账款,,debit
1,101,1123,1,预付账款,,debit
1,101,1131,1,应收股利,,debit
1,101,1132,1,应收利息,,debit
1,101,1221,1,其他应收款,,debit
1,101,1401,1,材料采购,,debit
1,101,1402,1,在途物资,,debit
1,101,1403,1,原材料,,debit
1,101,1404,1,材料成本差异,,debit
1,101,1405,1,库存商品,,debit
1,101,1407,1,商品进销差价,,credit
1,101,1408,1,委托加工物资,,debit
1,101,1411,1,周转材料,,debit
1,101,1421,1,消耗性生物资产,,debit
1,102,1501,1,长期债券投资,,debit
1,102,1511,1,长期股权投资,,debit
1,102,1601,1,固定资产,,debit
1,102,160101,2,电脑,1601,debit
1,102,1602,1,累计折旧,,credit
1,102,1604,1,在建工程,,debit
1,102,1605,1,工程物资,,debit
1,102,1606,1,固定资产清理,,debit
1,102,1621,1,生产性生物资产,,debit
1,102,1622,1,生产性生物资产累计折旧,,credit
1,102,1701,1,无形资产,,debit
1,102,170101,2,品牌使用费,1701,debit
1,102,1702,1,累计摊销,,credit
1,102,1801,1,长期待摊费用,,debit
1,102,180101,2,房租,1801,debit
1,102,1901,1,待处理财产损溢,,debit
2,201,2001,1,短期借款,,credit
2,201,2201,1,应付票据,,credit
2,201,2202,1,应付账款,,credit
2,201,2203,1,预收账款,,credit
2,201,2211,1,应付职工薪酬,,credit
2,201,221101,2,工资,2211,credit
2,201,2221,1,应交税费,,credit
2,201,2231,1,应付利息,,credit
2,201,2232,1,应付利润,,credit
2,201,2241,1,其他应付款,,credit
2,201,2401,1,递延收益,,credit
2,202,2501,1,长期借款,,credit
2,202,2701,1,长期应付款,,credit
3,301,3001,1,实收资本,,credit
3,301,300101,2,欧德华,3001,credit
3,301,300102,2,林朝伟,3001,credit
3,301,3002,1,资本公积,,credit
3,301,3101,1,盈余公积,,credit
3,301,3103,1,本年利润,,credit
3,301,3104,1,利润分配,,credit
4,401,4001,1,生产成本,,debit
4,401,4101,1,制造费用,,debit
4,401,4301,1,研发支出,,debit
4,401,4401,1,工程施工,,debit
4,401,4403,1,机械作业,,debit
5,501,5001,1,主营业务收入,,credit
5,501,5051,1,其他业务收入,,credit
5,502,5111,1,投资收益,,credit
5,502,5301,1,营业外收入,,credit
5,505,5401,1,主营业务成本,,debit
5,504,5402,1,其他业务成本,,debit
5,505,5403,1,税金及附加,,debit
5,503,5601,1,销售费用,,debit
5,503,5602,1,管理费用,,debit
5,503,560201,2,办公费,5602,debit
5,503,560202,2,其他,5602,debit
5,503,560203,2,工资,5602,debit
5,503,560204,2,品牌使用费摊销,5602,debit
5,503,560205,2,房租,5602,debit
5,503,5603,1,财务费用,,debit
5,504,5711,1,营业外支出,,debit
5,507,5801,1,所得税费用,,debit