TYPE,NUMBER,TITLE,SUPERIOR_NUMBER
Assets,1001,库存现金,
Assets,1002,银行存款,
Assets,1002001,中国银行存款,1002
Assets,1002002,招商银行存款,1002
Assets,1002003,农业银行存款,1002
Assets,1003,存放中央银行款项,
Assets,1011,存放同业,
Assets,1012,其他货币资金,
Assets,1021,结算备付金,
Assets,1031,存出保证金,
Assets,1101,交易性金融资产,
Assets,1111,买入返售金融资产,
Assets,1121,应收票据,
Assets,1122,应收账款,
Assets,1123,预付账款,
Assets,1131,应收股利,
Assets,1132,应收利息,
Assets,1201,应收代位追偿款,
Assets,1211,应收分保账款,
Assets,1212,应收分保合同准备金,
Assets,1221,其他应收款,
Assets,1231,坏账准备,
Assets,1301,贴现资产,
Assets,1302,拆出资金,
Assets,1303,贷款,
Assets,1304,贷款损失准备,
Assets,1311,代理兑付证券,
Assets,1321,代理业务资产,
Assets,1401,材料采购,
Assets,1402,在途物资,
Assets,1403,原材料,
Assets,1404,材料成本差异,
Assets,1405,库存商品,
Assets,1406,发出商品,
Assets,1407,商品进销差价,
Assets,1408,委托加工物资,
Assets,1411,周转材料,
Assets,1421,消耗性生物资产,
Assets,1431,贵金属,
Assets,1441,抵债资产,
Assets,1451,损余物资,
Assets,1461,融资租赁资产,
Assets,1471,存货跌价准备,
Assets,1501,持有至到期投资,
Assets,1502,持有至到期投资减值准备,
Assets,1503,可供出售金融资产,
Assets,1511,长期股权投资,
Assets,1512,长期股权投资减值准备,
Assets,1521,投资性房地产,
Assets,1531,长期应收款,
Assets,1532,未实现融资收益,
Assets,1541,存出资本保证金,
Assets,1601,固定资产,
Assets,1602,累计折旧,
Assets,1603,固定资产减值准备,
Assets,1604,在建工程,
Assets,1605,工程物资,
Assets,1606,固定资产清理,
Assets,1611,未担保余值,
Assets,1621,生产性生物资产,
Assets,1622,生产性生物资产累计折旧,
Assets,1623,公益性生物资产,
Assets,1631,油气资产,
Assets,1632,累计折耗,
Assets,1701,无形资产,
Assets,1702,累计摊销,
Assets,1703,无形资产减值准备,
Assets,1711,商誉,
Assets,1801,长期待摊费用,
Assets,1811,递延所得税资产,
Assets,1821,独立账户资产,
Assets,1901,待处理财产损溢,
Liabilities,2001,短期借款,
Liabilities,2002,存入保证金,
Liabilities,2003,拆入资金,
Liabilities,2004,向中央银行借款,
Liabilities,2011,吸收存款,
Liabilities,2012,同业存放,
Liabilities,2021,贴现负债,
Liabilities,2101,交易性金融负债,
Liabilities,2111,卖出回购金融资产款,
Liabilities,2201,应付票据,
Liabilities,2202,应付账款,
Liabilities,2203,预收账款,
Liabilities,2211,应付职工薪酬,
Liabilities,2221,应交税费,
Liabilities,2231,应付利息,
Liabilities,2232,应付股利,
Liabilities,2241,其他应付款,
Liabilities,2251,应付保单红利,
Liabilities,2261,应付分保账款,
Liabilities,2311,代理买卖证券款,
Liabilities,2312,代理承销证券款,
Liabilities,2313,代理兑付证券款,
Liabilities,2314,代理业务负债,
Liabilities,2401,递延收益,
Liabilities,2501,长期借款,
Liabilities,2502,应付债券,
Liabilities,2601,未到期责任准备金,
Liabilities,2602,保险责任准备金,
Liabilities,2611,保户储金,
Liabilities,2621,独立账户负债,
Liabilities,2701,长期应付款,
Liabilities,2702,未确认融资费用,
Liabilities,2711,专项应付款,
Liabilities,2801,预计负债,
Liabilities,2901,递延所得税负债,
Common,3001,清算资金往来,
Common,3002,货币兑换,
Common,3101,衍生工具,
Common,3201,套期工具,
Common,3202,被套期项目,
Equity,4001,实收资本,
Equity,4002,资本公积,
Equity,4101,盈余公积,
Equity,4102,一般风险准备,
Equity,4103,本年利润,
Equity,4104,利润分配,
Equity,4201,库存股,
Cost,5001,生产成本,
Cost,5101,制造费用,
Cost,5201,劳务成本,
Cost,5301,研发支出,
Cost,5401,工程施工,
Cost,5402,工程结算,
Cost,5403,机械作业,
ProfitAndLoss,6001,主营业务收入,
ProfitAndLoss,6011,利息收入,
ProfitAndLoss,6021,手续费及佣金收入,
ProfitAndLoss,6031,保费收入,
ProfitAndLoss,6041,租赁收入,
ProfitAndLoss,6051,其他业务收入,
ProfitAndLoss,6061,汇兑损益,
ProfitAndLoss,6101,公允价值变动损益,
ProfitAndLoss,6111,投资收益,
ProfitAndLoss,6201,摊回保险责任准备金,
ProfitAndLoss,6202,摊回赔付支出,
ProfitAndLoss,6203,摊回分保费用,
ProfitAndLoss,6301,营业外收入,
ProfitAndLoss,6401,主营业务成本,
ProfitAndLoss,6402,其他业务成本,
ProfitAndLoss,6403,营业税金及附加,
ProfitAndLoss,6411,利息支出,
ProfitAndLoss,6421,手续费及佣金支出,
ProfitAndLoss,6501,提取未到期责任准备金,
ProfitAndLoss,6502,提取保险责任准备金,
ProfitAndLoss,6511,赔付支出,
ProfitAndLoss,6521,保单红利支出,
ProfitAndLoss,6531,退保金,
ProfitAndLoss,6541,分出保费,
ProfitAndLoss,6542,分保费用,
ProfitAndLoss,6601,销售费用,
ProfitAndLoss,6602,管理费用,
ProfitAndLoss,6602001,办公费,6602
ProfitAndLoss,6603,财务费用,
ProfitAndLoss,6604,勘探费用,
ProfitAndLoss,6701,资产减值损失,
ProfitAndLoss,6711,营业外支出,
ProfitAndLoss,6801,所得税费用,
ProfitAndLoss,6901,以前年度损益调整,